SK_ID_CURR,TARGET
100085,0.0
100148,0.0
100296,0.0
100502,0.0
100909,0.0
100940,0.0
101178,0.0
101342,0.0
101410,0.0
101618,0.0
101680,0.0
101888,0.0
101926,0.0
101940,0.0
101984,0.0
102115,0.0
102182,0.0
102204,0.0
102211,0.0
102527,0.0
102532,0.0
102845,0.0
103024,0.0
103354,0.0
103413,0.0
103500,1.0
103553,0.0
103604,0.0
104825,0.0
104980,1.0
105109,0.0
105246,0.0
105372,0.0
105450,0.0
105637,0.0
105644,0.0
105953,0.0
106424,0.0
106595,0.0
106682,0.0
106753,0.0
106769,0.0
106850,0.0
106884,1.0
107120,0.0
107283,0.0
107400,0.0
107467,0.0
107622,0.0
107715,0.0
107742,1.0
107880,0.0
108064,0.0
108073,0.0
108283,0.0
108393,0.0
108707,1.0
108724,0.0
109149,0.0
109251,0.0
109507,0.0
109590,0.0
109678,0.0
110383,0.0
110576,0.0
110787,0.0
110912,0.0
111047,0.0
111082,0.0
111246,0.0
111410,0.0
111480,0.0
111796,0.0
111825,0.0
111935,0.0
112095,0.0
112132,0.0
112424,0.0
112524,0.0
112612,0.0
112707,0.0
112852,0.0
113132,0.0
113507,0.0
113800,0.0
114149,0.0
114179,0.0
114762,0.0
115108,0.0
115140,0.0
115303,1.0
115384,0.0
115421,0.0
115446,0.0
115576,0.0
116081,0.0
116199,0.0
116333,0.0
116502,0.0
116519,0.0
116689,0.0
117082,1.0
117537,0.0
117628,0.0
117688,0.0
117800,0.0
117833,0.0
117849,0.0
118225,0.0
118526,0.0
118543,0.0
118559,0.0
118855,0.0
119100,0.0
119323,0.0
119765,0.0
119952,0.0
120041,0.0
120090,0.0
120131,0.0
120331,0.0
120548,0.0
120555,0.0
121391,0.0
121474,0.0
121523,0.0
121576,0.0
121635,0.0
121652,0.0
121849,0.0
122515,1.0
122571,0.0
122572,0.0
122740,0.0
122755,0.0
122879,0.0
123339,0.0
123409,0.0
123671,0.0
123823,0.0
124353,0.0
124375,0.0
124729,0.0
124853,0.0
125082,0.0
125110,0.0
125302,0.0
125716,0.0
125856,0.0
125907,0.0
126232,0.0
126250,0.0
126424,0.0
126495,0.0
126562,0.0
126589,0.0
126627,0.0
126943,0.0
127056,0.0
127147,0.0
127268,0.0
127474,0.0
127566,0.0
128127,0.0
128296,0.0
128780,0.0
128801,0.0
129295,0.0
129363,0.0
129397,0.0
129511,0.0
129589,0.0
129715,0.0
129960,1.0
130401,0.0
130402,0.0
130794,0.0
131124,0.0
131330,0.0
131428,0.0
131440,0.0
131717,0.0
132040,0.0
132548,0.0
132921,0.0
133411,0.0
133507,0.0
133591,0.0
133639,0.0
134037,0.0
134268,0.0
134580,0.0
134729,0.0
134876,0.0
135094,0.0
135404,0.0
135411,0.0
135577,0.0
135633,0.0
135790,0.0
136698,0.0
137001,0.0
137064,0.0
137315,0.0
137409,0.0
137766,0.0
137800,1.0
138091,0.0
138134,0.0
138157,0.0
138198,0.0
138234,1.0
138428,0.0
138859,0.0
139155,0.0
139245,1.0
139599,0.0
139695,1.0
139716,0.0
140207,0.0
140544,0.0
140576,0.0
140711,0.0
141173,0.0
141392,0.0
141587,0.0
141745,0.0
141811,0.0
141828,0.0
141865,0.0
141879,0.0
142094,0.0
142316,0.0
142623,0.0
142733,0.0
142831,0.0
143314,0.0
143946,0.0
143961,0.0
144442,0.0
144479,0.0
144501,0.0
144636,0.0
144669,0.0
145143,0.0
145212,0.0
145252,0.0
145337,0.0
145439,0.0
145825,0.0
146030,0.0
146075,0.0
146143,0.0
146178,0.0
146248,0.0
146582,0.0
146851,0.0
146889,0.0
146968,0.0
147102,0.0
147123,0.0
147159,0.0
147173,0.0
147820,1.0
147883,0.0
148051,0.0
148186,0.0
148225,0.0
148390,0.0
148467,0.0
148736,0.0
148938,0.0
149006,0.0
149063,0.0
149179,0.0
149530,0.0
150485,0.0
150893,0.0
151484,1.0
151552,1.0
151624,0.0
151721,0.0
151759,0.0
152010,1.0
152024,0.0
152367,0.0
152435,0.0
152487,0.0
152520,0.0
152521,0.0
152531,0.0
152542,0.0
152674,0.0
152696,0.0
153030,0.0
153370,1.0
153544,0.0
153723,0.0
153766,0.0
153784,0.0
