SK_ID_CURR,TARGET
100103,0.0
100182,0.0
100262,0.0
100342,0.0
100418,0.0
100521,0.0
100593,0.0
100647,0.0
100675,0.0
100680,0.0
100709,0.0
100852,0.0
101114,0.0
101121,1.0
101188,0.0
101221,0.0
101226,0.0
101250,0.0
101280,0.0
101361,0.0
101453,0.0
101494,0.0
101625,0.0
101638,0.0
101810,0.0
101941,0.0
102030,0.0
102035,0.0
102043,0.0
102084,0.0
102085,0.0
102502,0.0
102600,0.0
102659,0.0
102735,0.0
102844,0.0
102942,1.0
102945,1.0
103055,0.0
103114,0.0
103148,1.0
103309,0.0
103310,1.0
103372,0.0
103425,0.0
103535,0.0
103550,0.0
103665,0.0
103743,0.0
103820,0.0
103910,0.0
104031,0.0
104170,0.0
104627,0.0
104940,0.0
104955,0.0
104959,0.0
105122,0.0
105177,0.0
105183,0.0
105268,0.0
105358,0.0
105368,0.0
105495,0.0
105500,0.0
105536,0.0
105582,0.0
105590,0.0
105636,0.0
105763,0.0
105787,0.0
105915,0.0
106017,0.0
106120,0.0
106232,0.0
106239,0.0
106300,0.0
106328,0.0
106353,0.0
106464,0.0
106497,0.0
106498,0.0
106530,1.0
106736,0.0
106749,0.0
106818,0.0
106848,0.0
106979,0.0
106982,0.0
107088,0.0
107094,0.0
107139,0.0
107147,0.0
107172,0.0
107183,0.0
107258,0.0
107362,0.0
107369,0.0
107388,0.0
107550,0.0
107574,0.0
107618,0.0
107627,0.0
107660,0.0
107679,0.0
107724,0.0
107786,0.0
107884,0.0
107902,0.0
108022,0.0
108050,0.0
108053,0.0
108071,0.0
108090,0.0
108107,0.0
108109,0.0
108146,0.0
108216,0.0
108236,0.0
108447,1.0
108465,0.0
108558,0.0
108573,0.0
108627,0.0
108717,0.0
108824,0.0
108950,0.0
109040,0.0
109073,0.0
109080,0.0
109115,0.0
109118,0.0
109203,0.0
109224,0.0
109238,0.0
109285,0.0
109355,0.0
109415,0.0
109485,0.0
109628,1.0
109640,0.0
109660,0.0
109683,0.0
109698,0.0
109753,0.0
109821,0.0
109825,0.0
109885,0.0
109922,0.0
110256,0.0
110302,0.0
110320,0.0
110395,0.0
110462,0.0
110562,0.0
110563,0.0
110653,1.0
110720,0.0
110743,0.0
110773,0.0
110795,0.0
110857,0.0
110871,0.0
111071,0.0
111105,0.0
111190,0.0
111193,0.0
111236,0.0
111288,0.0
111302,1.0
111336,0.0
111374,0.0
111377,0.0
111476,0.0
111486,0.0
111523,0.0
111575,0.0
111733,0.0
111759,0.0
111815,0.0
111933,0.0
112026,1.0
112088,1.0
112160,0.0
112294,0.0
112396,0.0
112525,0.0
112528,0.0
112828,0.0
112936,1.0
112996,0.0
113149,0.0
113224,0.0
113239,0.0
113313,0.0
113474,0.0
113515,0.0
113516,0.0
113624,0.0
113654,0.0
113677,0.0
113867,0.0
113979,0.0
113995,0.0
114088,0.0
114276,0.0
114328,0.0
